Step,Upstream Flow,Merging Area Flow,Downstream Flow,Upstream Occupancy,Merging Area Occupancy,Downstream Occupancy,Queue Length,TTTD,Sum Delay Sq,Total Waiting Time,Total Delay,Total Volume
267,1080.0,1980.0,1440.0,16.016028163809892,10.437849958417189,10.95822990215917,4,,,,,
268,1620.0,2340.0,1620.0,21.805302477645228,11.380715403296904,16.385227868367263,5,,,,,
269,1620.0,2520.0,1980.0,26.595414066158202,10.7357457125417,28.573112292345588,5,,,,,
270,1980.0,2700.0,2160.0,7.838341865496545,13.385027536642724,14.310488301794067,5,,,,,
271,1980.0,2880.0,2340.0,18.836647161482272,6.370988475683248,12.072844022893984,5,,,,,
272,2160.0,2880.0,2700.0,12.143681398210523,0.0,34.26160361149755,5,,,,,
273,2160.0,3060.0,2880.0,5.985381404008194,5.005973620832549,11.494008563316052,5,,,,,
274,2520.0,3060.0,3060.0,14.145516763786267,0.0,11.682189265239154,6,,,,,
275,2700.0,3240.0,3240.0,11.739767263058335,8.213616028456272,10.955225320500025,5,,,,,
276,2880.0,3240.0,3420.0,10.981478310680851,0.0,0.9994826823780537,5,,,,,
277,3060.0,3420.0,3600.0,22.935732204266895,8.71728204347022,10.295991749381983,5,,,,,
278,3420.0,3420.0,3780.0,18.440325085414127,0.0,0.9175013105561902,5,,,,,
279,0.0,180.0,180.0,16.666666666666668,12.437798406834588,17.528268636527855,5,,,,,
280,180.0,180.0,360.0,22.582224948946344,0.0,7.27171954800383,4,,,,,
281,540.0,360.0,540.0,23.246125815281477,10.090601883526062,13.89707887474477,5,,,,,
282,540.0,360.0,540.0,13.524314529709613,0.0,0.0,5,,,,,
283,720.0,540.0,900.0,23.300998824718516,7.367081497700667,11.247318722971992,5,,,,,
284,1080.0,540.0,900.0,23.463100791456288,0.0,0.0,5,,,,,
285,1260.0,720.0,1260.0,10.17745503567653,8.259046870428222,16.020944722900293,4,,,,,
286,1260.0,720.0,1440.0,10.446433638759345,0.0,16.3756644982963,4,,,,,
287,1800.0,900.0,1620.0,16.285247823961413,0.8491760901534917,2.215668746341256,4,,,,,
288,1800.0,900.0,1980.0,4.993527546582754,0.0,23.063973471687405,5,,,,,
289,2160.0,1260.0,2160.0,23.21966555742563,16.190451315492282,4.701033446419463,5,,,,,
290,2160.0,1440.0,2160.0,17.314757211592752,35.949209014869155,0.0,4,,,,,
291,2520.0,1440.0,2340.0,36.018383498044194,0.0,7.442050308249766,4,,,,,
292,2520.0,1980.0,2340.0,6.149963745668667,21.593385922409425,0.0,4,,,,,
293,2700.0,1980.0,2520.0,20.314657682611898,25.0,8.776993512308687,4,,,,,
294,3060.0,2160.0,2700.0,24.83909507518547,10.035814634107965,5.91338922124199,4,,,,,
295,3060.0,2520.0,2700.0,11.580257216930553,27.855101298840168,0.0,4,,,,,
296,3420.0,2880.0,2700.0,19.558144669032156,23.33341613505553,0.0,5,,,,,
297,3600.0,2880.0,2880.0,19.172512516115603,0.0,0.310659157205843,4,,,,,
298,3780.0,3240.0,3060.0,46.05312561168091,19.987559787450948,3.384944055064428,4,,,,,
299,180.0,0.0,180.0,21.540726189301534,0.0,0.5589885263570219,4,,,,,
300,360.0,360.0,360.0,11.625621003369702,35.261518725270946,8.53328881142185,4,,,,,
301,360.0,540.0,360.0,14.208524618513252,12.070611780568186,0.0,3,,,,,
302,720.0,720.0,540.0,22.299321900966145,11.910841088096902,9.161045866138315,3,,,,,
303,900.0,900.0,720.0,26.14367602179281,0.19734991775521848,0.2587232295108303,4,,,,,
304,1080.0,1080.0,720.0,3.0517874379768273,36.62367410734788,0.0,4,,,,,
305,1080.0,1260.0,720.0,16.666666666666668,49.097110878769,0.0,3,,,,,
306,1080.0,1260.0,900.0,6.933510335442368,25.0,7.206851775451166,3,,,,,
307,1440.0,1440.0,900.0,19.829502925944098,34.39678377047386,0.0,3,,,,,
308,1440.0,1980.0,900.0,0.0,48.90064511056238,0.0,3,,,,,
309,1440.0,1980.0,900.0,19.78906831166493,0.0,0.0,3,,,,,
310,1620.0,2160.0,1080.0,38.94757265767718,7.879073859389507,11.62014595311689,3,,,,,
311,1980.0,2520.0,1080.0,19.721972444938274,26.53520942776595,0.0,3,,,,,
312,2160.0,2880.0,1440.0,7.856788125714805,27.74943143512587,21.236050417949553,3,,,,,
313,2160.0,3060.0,1440.0,11.966634758252326,32.01158403197155,0.0,3,,,,,
314,2340.0,3420.0,1800.0,24.890866841270547,20.99669354444984,21.719183004499126,3,,,,,
315,2520.0,3420.0,1980.0,8.224544569045142,0.0,6.168306836432673,3,,,,,
316,2700.0,3600.0,2160.0,26.385884146192968,12.723155204948,9.685471674926779,2,,,,,
