Step,Upstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,Metering Rate,Green Time,Yellow Time,Red Time
6900,0,2.252221435071533,6.396839047556568,11,1700,15,3,2
6920,3,3.7332894612973178,0.0,10,1700,15,3,2
6940,3,6.530155171435581,0.0,12,1700,15,3,2
6960,2,0.0,0.0,11,1700,15,3,2
6980,2,3.308676938956978,3.6233745002846263,11,1700,15,3,2
7000,1,0.0,11.93707526331309,12,1700,15,3,2
7020,2,0.0,0.0,11,1700,15,3,2
7040,1,0.0,3.2950010738053,11,1700,15,3,2
7060,0,0.0,8.532208510693332,10,1700,15,3,2
7080,2,7.181610571456076,8.037357022794822,10,1700,15,3,2
7100,0,0.0,5.458948690314476,9,1700,15,3,2
7120,4,0.0,0.0,12,1700,15,3,2
7140,1,0.0,13.201452709654404,11,1700,15,3,2
7160,0,9.730783655800224,2.1280089945927707,13,1700,15,3,2
7180,1,0.0,0.0,11,1700,15,3,2
